value,key,tc,definition
Instruction in Event of Deviation from RFP,OLI_ATTACH_DEVIATERFP,321,Instruction in Event of Deviation from Request for Proposal	
Instructions/Reminders,OLI_ATTACH_INSTREMIND,250,Instructions such as those relating to a product or benefit. Example: "Provide a cancelled check not a deposit slip." Typically the "how" information.	
Instructions - Settlement Options,OLI_ATTACH_ISSINSTSETTL,331,	
Instructions - Term Conversion,OLI_ATTACH_ISSINSTTERMCV,332,	
Instructions - Underwriting,OLI_ATTACH_ISSINSTUND,330,	
Insurance Verification Letter,OLI_ATTACH_INSVER,333,This attachmentthat is a form sent by the carrier to a requesting entity which verifies that the party or parties who requested this letter are covered by an insurance policy issued by the carrier	
Interest Rate Lock Notice and Disclosure,OLI_ATTACH_RATELOCK,2550184,Interest rate lock information	
Interest Rate Notice and Disclosure,OLI_ATTACH_RATEDISC,2550182,Interest rate disclaimer and notice information which should be presented to an agent and/or consumer whenever interest rate information is provided	
Interest Sweep Form,OLI_ATTACH_INTSWEEP,2550300,	
Interim Conditional Receipt,OLI_ATTACH_CONDRECPTINT,99,A receipt given when a payment accompanies an application for insurance. It provides that the coverage will be in force from the date of application, provided the insurer would have issued the coverage on the basis of the facts revealed on the application, medical examination and other usual sources of underwriting.	
Internal Communication,OLI_ATTACH_INTERNAL,249,Communications and information for use by carrier and distributor staff including agents, but not customers/clients.	
Investigator Report,OLI_ATTACH_INVESTIGATOR,240,Provides additional details about a claimant if the claimant is under investigation which can influence the outcome of a case.	
Issue Log,OLI_ATTACH_ISSUELOG,297,	
Itemized Bill,OLI_ATTACH_ITEMBILL,248,The attachment contains an itemized bill.	
Jumbo Case Review Form,OLI_ATTACH_JUMBOREVIEW,2550240,	
Lab data,OLI_ATTACH_LABREPORT,23,Data associated with this attachment contain the results of Lab work	
Lab Slip Document,OLI_ATTACH_LABSLIPDOC,515,The attachment is an image of a Lab Slip document that accompanies a lab kit.	
Legal,OLI_ATTACH_LEGAL,385,	
Letter,OLI_ATTACH_LETTER,3,	
Letter - Apology,OLI_ATTACH_APOLOGY,386,	
Letter - Commitment,OLI_ATTACH_LETOFCOMMIT,387,	
Letter - Decision,OLI_ATTACH_DECISION,388,	
Letter of Authorization to Quote,OLI_ATTACH_LTRAUTH,298,A letter specifying the broker is authorized by the employer to request a quote for insurance.	
Letter - Receipt for Premiums Collected,OLI_ATTACH_RECEIPT,389,	
Letter - To Physician,OLI_ATTACH_PHYSICIANLET,390,	
License Copy in non pre-appointment states,OLI_ATTACH_LICLICENSE,220,	
Licensing Authorization to Disclose,OLI_ATTACH_LICPRODUCER,223,	
Licensing Broker Authorization,OLI_ATTACH_LICDISCAUTH,222,	
Licensing - Documents for pre-appointment states,OLI_ATTACH_LICPREAPPT,225,	
Licensing - General Correspondence,OLI_ATTACH_LICGENCORR,224,	
Life Policy Contract,OLI_ATTACH_LIFECONTRACT,538,	
Lifestyle Questionnaire/Supplement,OLI_ATTACH_QLIFESTYLE,145,Document used to gather more detailed information about applicant's lifestyle	
Limited Insurance Agreement,OLI_ATTACH_LIA,100,An agreement providing that if all qualifications are met, coverage will be in force from the date of application, provided the insurer would have issued the coverage on the basis of the facts revealed on the application, medical examination and other usual sources of underwriting.	
Lost Policy Affidavit,OLI_ATTACH_LOSTPOL,256,An attestation that client has lost the original policy for the contract being surrendered for a replacement.	
Mail Log,OLI_ATTACH_MAILLOG,391,	
Marketing - Fund Code Chart,OLI_ATTACH_FUNDCODE,392,	
Marketing Materials,OLI_ATTACH_MARKMAT,299,	
Marketing Objective,OLI_ATTACH_MKTGOBJECTIVE,263,	
Marketing - Quotation Request,OLI_ATTACH_QUOTEREQ,393,	
Marketing Strategy Letter,OLI_ATTACH_MARKSTRAT,300,	
Marketing - Underwriting Requirements Chart,OLI_ATTACH_UNDERWRITREQ,394,	
Market Value Adjustment Disclosure,OLI_ATTACH_MVADISC,535,Used to specify disclosure wording for Market Value Adjustments (MVAs).	
Medical exam performed by personal physician,OLI_ATTACH_MEDICALEXAM,528,Document which captures results of examination performed by a personal physician/doctor.	
Meeting/Call Notes,OLI_ATTACH_CALLNOTES,301,	
MIB Notice,OLI_ATTACH_MIBNOTICE,541,Notice indicating personal information will be shared with MIB	
MIB Search data returned in the MIB Service Request format,OLI_ATTACH_MIB_SERVRESP,19,Data associated with this attachment contain the results of an MIB Search	
MIB Update Data,OLI_ATTACH_MIB402,244,Data associated with this attachment contain the results of an MIB Update	
Mini Mental State Exam Form,OLI_ATTACH_MMNTALSTEX,254,A form that is completed by a trained clinician in evaluating a patient and providing such information as orientation, immediate recall, attention, delayed verbal recall, naming, stage command, reading, writing and sentence language.	
Motor vehicle report information,OLI_ATTACH_MVR,20,Data associated with this attachment contain the results of an MVR request	
Mountain/Rock/Ice Climbing Questionnaire/Supplement,OLI_ATTACH_QCLIMB,142,Document used to gather more detailed information about applicant's participation in mountain, rock, or ice climbing activities reported in the application	
NAIC Buyers Guide - EIA,OLI_ATTACH_NAICBUYGUIDEEIA,2550170,	
NAIC Buyers Guide - Fixed,OLI_ATTACH_NAICBUYGUIDEFIXED,2550150,	
NAIC Buyers Guide - Variable,OLI_ATTACH_NAICBUYGUIDEVAR,2550160,	
NAIC Disclosure - Fixed and EIA,OLI_ATTACH_NAICDISCFIXEIA,2550180,	
NAIC Model Reg Replacement Form,OLI_ATTACH_NAICMODELREGDISC,2550330,	
Needs Analysis / Screening - Critical Illness,OLI_ATTACH_CRITICALSCREEN,395,	
Needs Analysis / Screening - Disability,OLI_ATTACH_DISABSCREEN,396,	
Needs Analysis / Screening - Insurance,OLI_ATTACH_INSSCREEN,397,	
Needs Analysis / Screening - Investment,OLI_ATTACH_INVESTSCREEN,398,	
Needs Assessment Summary Letter,OLI_ATTACH_REASONWHY,536,This letter is intended to be a brief summary of the results of needs assessment. It is given to the client. In addition to helping the client understand the recommendation, it is something he or she can keep as a convenient reminder of why the policy was purchased.	
New York Reg 60 Form Appendix 10A,OLI_ATTACH_APPEN10A,257,A replacement form necessary to comply with New York Reg 60	
New York Reg 60 Form Appendix 10B,OLI_ATTACH_APPEN10B,258,A replacement form necessary to comply with New York Reg 60	
New York Reg 60 Form Appendix 10C,OLI_ATTACH_APPEN10C,259,A replacement form necessary to comply with New York Reg 60	
New York Regulation 60 Disclosure Form,OLI_ATTACH_REG60,2550350,	
Non-Inspection Reason,OLI_ATTACH_NONINSPREASON,261,Attachment contains information derived from sources other than an inspection report that might be used as reasons for modifying or rejecting a policy. This information is typically used for Fair Credit letters.	
Non-Medical Declaration,OLI_ATTACH_NONMEDDEC,102,Statement of personal health, used in lieu of physical examination	
Non-Medical Exam,OLI_ATTACH_NONMED,101,Document which captures results of examination performed by a paramedical examiner.	
Non-NAIC Model Replacement Form,OLI_ATTACH_NONNAICREPLACEMENT,2550340,	
Non- NAIC SPDA Disclosure Form,OLI_ATTACH_NONNAICSPDA,2550175,	
Note from Buyer,OLI_ATTACH_BUYERNOTE,486,Contains comments or notes from the buyer to the seller in an invoicing context.	
Note from Seller,OLI_ATTACH_SELLERNOTE,485,Contains comments or notes from the seller to the buyer in an invoicing context.	
Notice Concerning Policyholder Rights,OLI_ATTACH_NOTICE_POLHLDR_RIGHTS,510,The Notice Concerning Policyholder Rights is a document that explains the Company's information practices.	
Not Taken Option,OLI_ATTACH_DISBNTO,212,	
Obituary,OLI_ATTACH_OBITUARY,532,A notice of a death, often published in a newspaper, that is typically accompanied by a brief biography of the decedent.	
Occupation Specialty Schedule,OLI_ATTACH_OCCUSPSCHED,503,Additional details pertaining to the occupations included in a request for proposal to the insurance carrier.	
One Time Withdrawal Form,OLI_ATTACH_ONETIMEWITHDRAWAL,512,This is a form carriers use to process one-time withdrawal requests. This form is usually used for both one-time withdrawal request as well as partial withdrawal requests.	
Open Enrollment,OLI_ATTACH_OPENENROLL,302,	
Original Application,OLI_ATTACH_ORIGINALAPP,10,	
Other,OLI_OTHER,2147483647,	
Other Exam Form,OLI_ATTACH_EXAMFORM,106,Carrier specific form used to capture results of an examination.	
Ownership Disclosure - Non-Natural or Corp Owned,OLI_ATTACH_OWNDISCNNCO,2550212,Ownership Disclosure - Non-Natural or Corporate Owned Form	
Ownership Disclosure - Notice for Active Duty USAF,OLI_ATTACH_OWNDISCMIL,2550214,Ownership Disclosure - Important notice for Active Duty Members of the United States Armed Forces	
Paramed Exam,OLI_ATTACH_PARAMED,103,Document which captures results of examination performed by a paramedical examiner.	
Partial Withdrawal Form,OLI_ATTACH_PARTIALWITHDRAWAL,514,This is a form carriers use to process partial withdrawal requests.	
Payment - Acceptable forms of Payment Notice,OLI_ATTACH_PAYFORM,2550234,Payment - Acceptable forms of Payment Notice (Disclosure)	
Payment Authorization Form,OLI_ATTACH_PAYMENTAUTHFORM,540,	
Payment - Pre-Authorized Investment Form (PAC),OLI_ATTACH_PAYPAC,2550232,	
Performance Guarantee,OLI_ATTACH_PERFGUARAN,504,A request for a performance guarantee that is typically included in a request for proposal to the insurance carrier.	
Personal History Interview,OLI_ATTACH_PERSHISTINTERVIEW,327,The Attachment is the result of a request for the results of the Personal History Interview	
Plan History,OLI_ATTACH_PLANHIST,303,	
Policy Delivery - Evaluation Guide,OLI_ATTACH_EVALGUIDE,399,	
Policy Delivery Receipt,OLI_ATTACH_POLDELVRCPT,126,Document signed by policyowner indicating that they have received the policy contract. Can also be signed by the agent.	
Policy Summary,OLI_ATTACH_POLSUMMARY,81,The policy summary is a document, that contains certain legally required data regarding the specific policy being considered by the applicant. Such data includes premiums payable, benefits provided, cash values, and cost indexes.	
Politically Exposed Person Form,OLI_ATTACH_PEFPFORM,519,Disclosure of information for related persons and relationships of the owner(s) to politically exposed individuals.	
Power Of Attorney Affidavit,OLI_ATTACH_POA,2550270,	
Pre-Authorized Check (PAC) Authorization,OLI_ATTACH_PACAUTH,120,Authorization to withdraw funds from an account, which also provides the account detail.	
Pre-Authorized Check (PAC) Authorization/Voided Check,OLI_ATTACH_PACAUTHVOID,121,Authorization to withdraw funds from an account, which also provides the account detail. Voided check for the account is attached to the authorization.	
Pre-Authorized Check (PAC) Correspondence,OLI_ATTACH_CORRPAC,116,Document communicating information related to the authorization to withdraw funds.	
Pre-Candidate Illustration,OLI_ATTACH_PRECAND,6,	
Preliminary Application,OLI_ATTACH_PRELIMAPP,252,A means of collecting basic information about the client and the policy being applied for, allowing the producer to initiate the new business process. The full application is completed after the new business process has begun. This type of application is also called a quick ticket.	
Premium Allocation Form,OLI_ATTACH_PREMIUMALLOCATIONFORM,517,Allocation of payments/deposits across investment product coverages.	
Premium Check - Initial Premium (COD),OLI_ATTACH_PREMCHK,122,Check providing for payment of on-going premium	
Premium Check - Ongoing Premiums,OLI_ATTACH_MONEYPREMCHK,182,	
Premium Report,OLI_ATTACH_PREMIUM,304,	
Prescription data,OLI_ATTACH_PRESCRIPTION_PROFILE,22,Data associated with this attachment contain the results of a Prescription Profile	
Presentation,OLI_ATTACH_PRESENT,305,	
Pre-Tax Section 125 / Other Tax Considerations,OLI_ATTACH_TAX125,324,IRC - Section 125 plans your employees are able to pay for eligible fringe benefits with"pre-tax" income	
Privacy Notice,OLI_ATTACH_PRIVACYNOTE,2550100,	
Producer Card (a.k.a. Agent Card),OLI_ATTACH_AGENTCARD,79,Agent cards provide pertinent information about a policy for use in manual files.	
Product Criteria Form,OLI_ATTACH_PRODUCT,306,	
Product Feature Comparison Form,OLI_ATTACH_PRODFEATURECOMP,544,A Product Feature Comparison form is used to collect summary information about the policies being replaced and the proposed policy, for suitability analysis purposes.	
Proof of Delivery Statement,OLI_ATTACH_PROOFOFDEL,2550410,	
Proposal Information,OLI_ATTACH_PROPOSAL_INFO,307,	
Provider/Network Information,OLI_ATTACH_PROVIDER,308,	
Publicly Disclosable Information,OLI_ATTACH_INFO,251,Information such as that relating to product features, benefits, constraints and costs. Example: "This spousal protection rider provides continued benefits after the death of the primary annuitant." Typically "why and what" information. This information may be printed/viewed/displayed to a customer.	
Pulmonary Function Tests,OLI_ATTACH_APSPULMONARY,164,Results of tests performed to ascertain applicant's respiratory health.	
Qualifications,OLI_ATTACH_QUALIF,323,	
Qualified Plan Disclosures,OLI_ATTACH_QUALPLANDISC,2550430,	
Qualified Plan Disclosure - Simple IRA Employer Form,OLI_ATTACH_QUALSIMPLE,2550432,Qualified Plan Disclosure - Simple IRA Employer Information Form	
Qualified Plan Disclosure - Tax Sheltered Annuity,OLI_ATTACH_QUALTSA,2550434,Qualified Plan Disclosure - Tax Sheltered Annuity Certification Form	
Questionnaire - Activities of Daily Living,OLI_ATTACH_DAILYLIVQ,400,	
Questionnaire - Alcohol or Drug Use,OLI_ATTACH_ALCOHOLQ,401,	
Questionnaire - Arthritis,OLI_ATTACH_ARTHRITISQ,402,	
Questionnaire - Assessment,OLI_ATTACH_ASSESSQ,403,	
Questionnaire - Avocation,OLI_ATTACH_AVOCATIONQ,404,	
Questionnaire - Back Pain,OLI_ATTACH_BACKPAINQ,405,	
Questionnaire - Beneficial Ownership,OLI_ATTACH_BENEFICIALQ,406,	
Questionnaire - Blood Pressure,OLI_ATTACH_BLOODPRESQS,407,	
Questionnaire - Client Information,OLI_ATTACH_CLIENTIINFOQ,408,	
Questionnaire - Climbing,OLI_ATTACH_CLIMBQ,409,	
Questionnaire - Colitis,OLI_ATTACH_COLITISQ,410,	
Questionnaire - Coronary and Angina,OLI_ATTACH_CORONARYQ,411,	
Questionnaire - Digestive / Bowel Disorder,OLI_ATTACH_DIGESTIVEQ,412,	
Questionnaire - Driving History,OLI_ATTACH_DRIVHISTQ,413,	
Questionnaire - Emotional Health,OLI_ATTACH_EMOTHEALQ,414,	
Questionnaire - Fainting,OLI_ATTACH_FAINTINGQ,415,	
Questionnaire - Family History,OLI_ATTACH_FAMILYQ,416,	
Questionnaire for Carrier Completion,OLI_ATTACH_QUEST,309,A list of questions provided to the carrier in a request for proposal to the insurance carrier.	
Questionnaire - Gastro-Intestinal,OLI_ATTACH_GASTROIN,417,	
Questionnaire - Gynaecological,OLI_ATTACH_GYNQ,418,	
Questionnaire - Headache,OLI_ATTACH_HEADACHE,419,	
Questionnaire - Kidney,OLI_ATTACH_KIDNEYQ,420,	
Questionnaire - Liver,OLI_ATTACH_LIVERQ,421,	
Questionnaire - Mature Age,OLI_ATTACH_MATUREQ,422,	
Questionnaire - Military,OLI_ATTACH_MILITARYQ,423,	
Questionnaire - Motorcycle,OLI_ATTACH_MOTORCYCLE,425,	
Questionnaire - Motor Sport,OLI_ATTACH_MOTORSPORTSQ,424,	
Questionnaire - Neurological,OLI_ATTACH_NEUROLOQ,426,	
Questionnaire - Nicotine,OLI_ATTACH_NICOTINEQ,427,	
Questionnaire - Occupation,OLI_ATTACH_OCCUPATIONQ,428,	
Questionnaire - Part 2 (Paramedical / Medical),OLI_ATTACH_MEDICALP2,429,	
Questionnaire - Physical Demands,OLI_ATTACH_PHYSICALDEMAQ,430,	
Questionnaire - Physiotherapy Report,OLI_ATTACH_PHYSIOTHERYQ,431,	
Questionnaire - Politically Exposed Person,OLI_ATTACH_QPEFP,518,Initial questions used to determine if a Politically Exposed Person Form is required.	
Questionnaire - Power Boat Racing,OLI_ATTACH_POWERBOATQ,432,	
Questionnaire - Psychiatric,OLI_ATTACH_PSYCHIATRICQ,433,	
Questionnaire - Respiratory,OLI_ATTACH_RESPIRATORYQ,434,	
Questionnaire - Scuba Diving,OLI_ATTACH_SCUBAQ,435,	
Questionnaire - Skydiving, Parachuting,OLI_ATTACH_SKYDIVINGQ,436,	
Questionnaire - Snowmobiling,OLI_ATTACH_SNOWMOBILEQ,437,	
Questionnaire - Temporary Insurance Agreement,OLI_ATTACH_TEMPAGREE,438,	
Questionnaire - Tumour,OLI_ATTACH_TUMORQ,439,	
Racing Questionnaire/Supplement,OLI_ATTACH_QRACING,139,Document used to gather more detailed information about applicant's racing experience reported in the application	
Rate/Financial Information,OLI_ATTACH_RATEINFO,311,	
Rate History,OLI_ATTACH_RATEHIST,310,	
Registered Fixed Annuity Prospectus (MVA and EIA),OLI_ATTACH_FIXEDPROSP,2550042,Registered Fixed Annuity Prospectus (including MVA and EIA)	
Release of Commission Assignment,OLI_ATTACH_COMMREL,230,	
Remittance Log,OLI_ATTACH_REMITLOG,118,Document, which accompanies one or more checks/financial records, used to list and describe the individual items	
Renewal Notification,OLI_ATTACH_RENEWAL,312,	
Replacement Form,OLI_ATTACH_REPLF,107,State specific replacement form, which informs the applicant about the implications of using the policy being applied for to replace existing insurance.	
Reports, Office and Hospital Records,OLI_ATTACH_APSREPORT,167,Details of an applicant's medical history, provided by a health care provider other than a physician	
Reproposal,OLI_ATTACH_REPROPOSAL,8,	
Request - Disclosure of Reasons for UW Decision,OLI_ATTACH_DISCLOSUREREA,440,Request - Disclosure of Reasons for Underwriting Decision	
Request - Duplicate Policy,OLI_ATTACH_DUPLICATERQ,441,	
Request - Supplies (Group),OLI_ATTACH_SUPPLIESGR,442,	
Request - Supplies (Insurance),OLI_ATTACH_SUPPLIESINS,443,	
Request - Supplies (Investment),OLI_ATTACH_SUPPLIESINV,444,	
Requirement Result.,OLI_ATTACH_REQUIRERESULTS,246,Data associated with this attachment contain the results of a Requirement Result.	
Requirements Request,OLI_ATTACH_REQUIREREQUEST,245,Data associated with this attachment contain the information of an Requirement request	
Resident Alien Card,OLI_ATTACH_RESALIENCD,117,Documentation that applicant is not a citizen but does have resident alien status	
Resident Alien Questionnaire/Supplement,OLI_ATTACH_QRESALIEN,143,Document used to gather more detailed information about applicant's resident alien status.	
Restriction Note,OLI_ATTACH_RESTRICTNOTE,522,Used to document restrictions, such as those documented with financial guidelines.	
Returned Check,OLI_ATTACH_RETURNCHK,119,Check that is being returned because it could not be accepted and/or processed	
Returned Original Policy,OLI_ATTACH_RETORIGPOL,128,Original policy contract that is being returned to the carrier.	
Revised Application,OLI_ATTACH_REVISEDAPP,11,	
Revised Illustration,OLI_ATTACH_REVISEDILLUS,9,	
RFP Instructions,OLI_ATTACH_RFP,313,Request for Proposal Instructions	
Rider Reset Authorization Form,OLI_ATTACH_RIDERRESET,2550280,	
Risk Tolerance Questionnaire,OLI_ATTACH_RISKTOL,2550090,	
Sales Summary Disclosure,OLI_ATTACH_SALESDISCOSURE,2550140,	
SEC N-4 Sec Registration Narrative Explanation,OLI_ATTACH_SECN_4,262,Footnote or other explanatory narrative further describing an element's context, meaning or use.	
Secondary Address Form,OLI_ATTACH_SECONDADDRESSFORM,539,	
Segregated Funds - Reset,OLI_ATTACH_RESETSEGRFUNDS,445,	
Seizure Disorder Questionnaire/Supplement,OLI_ATTACH_QSEIZURE,133,Document used to gather more detailed information about applicant's seizure disorder reported in the application	
Service - Banking / Premium Payment,OLI_ATTACH_BANKPREMPAY,446,	
Service - Bene, Owner, Trustee, Assignment, Name,OLI_ATTACH_BENENAMECORR,447,Service - Beneficiary, Owner, Trustee, Assignment, Name	
Service - Cancellation / Termination,OLI_ATTACH_CANCELLSERV,448,	
Service - Creditor Request,OLI_ATTACH_CREIDTORREQSERV,449,	
Service - Deposit Notice,OLI_ATTACH_DEPOSITNOTESERV,450,	
Service Forms,OLI_ATTACH_SERVICEFORM,2550440,	
Service Level Agreement,OLI_ATTACH_SERVICELVL,314,	
Service - Loan Repayment,OLI_ATTACH_LOANREPAYSERV,451,	
Service - Non-Financial Update,OLI_ATTACH_NONFINUPDATE,452,	
Service - Ownership or Beneficiary,OLI_ATTACH_OWNERSERV,453,	
Service - Payee,OLI_ATTACH_PAYEESERV,454,	
Service - Phone Restriction,OLI_ATTACH_PHONESERV,455,	
Service - Policy,OLI_ATTACH_POLICYSERV,456,	
Service - Registered Investment Transfer,OLI_ATTACH_TRANSFERSERV,457,	
Service - Release of Beneficiary's Interest,OLI_ATTACH_RELBENEINT,458,	
Service - Release of Collateral Assignment,OLI_ATTACH_RELCOLLASS,459,	
Service - Rider Election / Addition of Coverage,OLI_ATTACH_RIDERELEC,460,	
Service - Servicing Representative Change,OLI_ATTACH_SERVREPCHG,461,	
Service - Status Change,OLI_ATTACH_STATUSCHG,462,	
Short Portable Mental Status Questionnaire,OLI_ATTACH_SPMSQ,255,A short portable mental status questionnaire for the assessment of organic brain deficit in elderly patients. This is commonly known as SPMSQ.	
Signed Tele-med,OLI_ATTACH_TELMEDSGND,104,Part B examination completed by tele-interviewer, signed	
Specification Page,OLI_ATTACH_SPECIFICATIONPAGE,82,The specification page is a document that contains which contains high level information regarding the policy such as the plan name, amount of insurance, name and address of the primary insured.	
Statement - Acceptance,OLI_ATTACH_ACCEPTANCE,463,	
Statement - Amounts held in Federal plans,OLI_ATTACH_AMOUNTSTAT,464,	
Statement - Certificate of Discharge,OLI_ATTACH_CERTOFDISCH,465,	
Statement - Certificate of Existence,OLI_ATTACH_CERTOFEXIST,466,	
Statement - Child Health,OLI_ATTACH_CLDHEALTH,467,	
Statement - Client Disclosure,OLI_ATTACH_CLTDISCLO,468,	
Statement - Compensation (Group),OLI_ATTACH_COMPENSATIONGR,469,	
Statement - Date of Birth,OLI_ATTACH_DOBSTATEMENT,470,	
Statement - Insurability / Good Health,OLI_ATTACH_INSURABILITYSTAT,471,	
Statement - Interest Rate Guarantee,OLI_ATTACH_INTRATEGUARSTAT,472,	
Statement - Interpreter,OLI_ATTACH_INTERPRETER,473,	
Statement - Letter of Direction,OLI_ATTACH_LETDIRECTION,474,	
Statement - Locked-In Pension Funds,OLI_ATTACH_LOCKINPENSION,475,	
Statement - Major Cash Deposit,OLI_ATTACH_MAJORCASHDEP,476,	
Statement - Marital Status,OLI_ATTACH_MARITALSTATUS,477,	
Statement - Notary Public Certificate,OLI_ATTACH_NOTARY,478,	
Statement - Refusal of Coverage,OLI_ATTACH_REFUSAL,479,	
Statement - Representative Declaration,OLI_ATTACH_REPDECLARATION,480,	
Statement - Spousal Consent / Waiver,OLI_ATTACH_SPOUSALCONS,481,	
Statement - Third Party Declaration,OLI_ATTACH_THRIDPARTY,482,	
Strategic Planning,OLI_ATTACH_STRATIGIC,315,	
Suitability Determination Form,OLI_ATTACH_SUITABILITY,2550370,	
Summary of Premium Provision,OLI_ATTACH_SUM_PREMIUM_PROVISION,511,The Summary of Premium Provision is a document that defines the premium options.	
Summary Plan Description,OLI_ATTACH_SUMMPLAN,316,A document containing a comprehensive description of a plan, including the terms and conditions of participation. This is typically included in a request for proposal to the insurance carrier.	
Supplementary application - Child,OLI_ATTACH_SUPPAPPCHLD,161,Document providing application detail for a child applying for coverage as an Other Insured	
Supplementary Application - Spouse,OLI_ATTACH_SUPPAPPSPSE,162,Document providing application detail for a spouse applying for coverage as an Other Insured	
Systematic Withdrawal Form,OLI_ATTACH_SYSWITH,2550220,	
Tax - Canada Revenue Agency (CCRA),OLI_ATTACH_CCRA,483,	
Tax Disclosure Form - W4P,OLI_ATTACH_TAXW4P,2550260,	
Tax Disclosure Form - W8,OLI_ATTACH_TAXW8,2550250,	
Tax - Request to Reduce Tax Deductions at Source,OLI_ATTACH_REDUCETAXDED,484,	
Teleinterview Note,OLI_ATTACH_TELEINTERVIEWNOTE,326,Note with instructions or additional information for the teleinterviewer.	
Telephone/ Electronic Transaction Auth Form,OLI_ATTACH_TELE,2550230,	
Testamentary Trust Wording,OLI_ATTACH_TRUSTWORDING,531,Used to specify the wording of a trust arrangement. Examples include:A credit shelter trust under said will and testamentA trust under Article _____ of said will and testamentA trust under item _____ of said will and testamentThe _____ Trust under said will and testamentFor the Benefit Of _______	
Tobacco Use Questionnaire/Supplement,OLI_ATTACH_QTOBACCOUSE,137,Document used to gather more detailed information about applicant's use of tobacco reported in the application	
Transmittal,OLI_ATTACH_TRANSMITTAL,109,Coversheet attached to the insurance application, used as a tool to communicate information from the producer to the carrier.	
Transparency Disclosure Form,OLI_ATTACH_TRNASDISC,317,	
Trust Agreement,OLI_ATTACH_TRUSTAGRMNT,147,Document provided details about trust agreement.	
Trust Document Certificate,OLI_ATTACH_TRUST,2550210,	
U.S. W4 Tax Form,OLI_ATTACH_TAXW4,524,Employee's Withholding Allowance Certificate (U.S. W4 Tax Form)	
Underwater/Sky Sports Questionnaire/Supplement,OLI_ATTACH_QDIVESKYSPORT,138,Document used to gather more detailed information about applicant's participation in underwater or sky sports reported in the application	
Underwriter Work Sheet,OLI_ATTACH_UNDRWRTWKSHT,80,The worksheet, sometimes called a data sheet, is a printout of all available information about the proposed insured and, in some companies pertinent information about the agent who submitted the application.	
Underwriting Note,OLI_ATTACH_UNDRWRTNOTE,12,General underwriting note when the intended recipient is not specified.	
Union Contract/Agreement,OLI_ATTACH_UNIONCON,318,	
Unknown,OLI_UNKNOWN,0,	
Unsigned Tele-med,OLI_ATTACH_TELMEDUNSGND,105,Part B examination completed by tele-interviewer, unsigned	
Urine Test Results - Paper,OLI_ATTACH_LABSURINE,170,Results of tests performed on a urine specimen to ascertain the applicant's health.	
Values Page,OLI_ATTACH_VALUEPAGE,83,The Values page is specific to the type of policy and contains information regarding coverages, benefits, extra ratings, cash value, etc.	
Variable Annuity Contract Prospectus,OLI_ATTACH_CONTRACTPROSP,2550040,	
Variable Annuity Profile,OLI_ATTACH_VAP,2550060,	
Variable Annuity Summary Prospectus,OLI_ATTACH_VASUMPROSPECTUS,2550041,	
Voice Signature Image/File,OLI_ATTACH_VOICESIGN,526,	
Void Check,OLI_ATTACH_MONEYVOID,183,	
W9,OLI_ATTACH_TAXW9,160,In the U.S., the IRS Tax Identification Verification Form is the W-9 form.	
Welcome Letter,OLI_ATTACH_WELCOMELTR,2550390,	
Wet signature image,OLI_ATTACH_WETSIGN,13,	
Workflow,OLI_ATTACH_WORKFLOW,319,	
Worksheet,OLI_ATTACH_WRKSHT,97,Document providing supporting details for another form, data element or calculation	
X-ray Copy,OLI_ATTACH_XCOPY,174,Copy of x-ray film	
X-ray Interpretation,OLI_ATTACH_XREPORT,175,Analysis of x-ray film	
